분류,의미,용어,용어(예시),예시의미,족보여부,ppt여부
접미사,둥근 열매모양의 bacterium,coccus,"streptococcus, staphylococcus","연쇄구균, 포도구균",,
접미사,pain (통증),dynia,pleurodynia,가슴막통증,o,
접미사,"생산, 형성하는 상태",genesis,"carcinogenesis, angiogenesis","발암, 혈관형성",,
접미사,"분해, 파괴, 분리",lysis,hemolysis,용혈,o,o
접미사,"연화, 물렁해짐",malacia,"osteomalacia, chondromalacia","골연화증, 연골화증",o,
접미사,확대,megaly,acromegaly,말단비대증,,
접미사,질병상태,pathy,cardiomyopathy,심장근육병증,,o
접미사,결핍,penia,erythropenia,적혈구감소증,o,o
접미사,"두려움, 공포",phobia,"acrophobia, agroaphobia","고소공포증, 광장공포증",o,
접미사,"발생, 형성, 성장",plasia,achondroplasia,연골무형성증,o,
접미사,복구수술,plasty,angioplasty,혈관성형술,o,o
접미사,"축 늘어짐, 처짐",ptosis,"blepharoptosis, apoptosis","눈꺼풀처짐, 세포자연사",o,
접미사,경화,sclerosis,arteriosclerosis,동맥경화증,o,
접미사,"차단, 통제",stasis,"metastasis, hemostasis","전이, 지혈",o,o
접미사,입 (구멍)을 만드는 수술,stomy,"colostomy, tracheostomy","결장창냄술, 기관창냄술",o,
접미사,"발생, 육성",trophy,"hypertrophy, atrophy","비대, 위축",,
접미사,하는 사람,er,radiographer,영상의학사,,
접미사,"상태, 상황",ia,leukemia,백혈병,,o
접미사,작은,ole,arteriole,세동맥,,
접미사,작은,ule,venule,세정맥,,
접미사,"구소, 소직","um, ium",pericardium,심장막,,
접미사,"구조, 물질",us,"mucus, esophagus","점액, 식도",,
접미사,"상태, 과정",y,nephropathy,콩팥병증,,
접미사,"에 관한, 에 속한","ac, iac",cardiac,심장,,
접미사,"에 관한, 에 속한",al,"peritoneal, inguinal, pleural","복막/배막, 샅굴/서혜/샅고랑, 가슴막/흉막",,
접미사,"에 관한, 에 속한",ar,tonsillar,편도,,
접미사,"에 관한, 에 속한",ary,"pulmonary, axillary","폐/허파, 겨드랑",,
접미사,"에 관한, 에 속한",eal,laryngeal,후두,,
접미사,"생산에 관한, 생산하는, 생기는",genic,"carcinogenesis, osteogenic","발암/암형성, 뼈형성/골형성/뼈발생",o,
접미사,"에 관한, 에 속한","ic, ical","chronic, pathologic","만성, 병적/병리학적",,
접미사,을 닮은,oid,"adenoids, mucoid","아데노이드, 인두편도, 점액성",,
접미사,"에 관한, 로 가득찬",ose,adipose,지방 (으로 가득 찬),,
접미사,에 관한,ous,mucous membrane,점막,,
접미사,에 관한,tic,necrotic,괴사성의,,
접두사,"아닌, 없는","a, an","apnea, anoxia","무호흡, 무산소증",,o
접두사,에서 멀리 떨어진,ab,"abnormal, abductor","이상/비정상, 벌림근/외전근",o,
